Time,Open,High,Low,Close,Volume
24.02.2017 01:00:00.000 GMT+0100,1.05840,1.06179,1.05565,1.05595,235293328125
26.02.2017 01:00:00.000 GMT+0100,1.05637,1.05645,1.05517,1.05520,8392790039.0625
27.02.2017 01:00:00.000 GMT+0100,1.05520,1.06306,1.05515,1.05838,220285796875
28.02.2017 01:00:00.000 GMT+0100,1.05838,1.06301,1.05666,1.05692,256796218750
01.03.2017 01:00:00.000 GMT+0100,1.05691,1.05894,1.05142,1.05359,287665843750
02.03.2017 01:00:00.000 GMT+0100,1.05358,1.05456,1.04948,1.05070,240914406250
03.03.2017 01:00:00.000 GMT+0100,1.05070,1.06239,1.05022,1.06203,243485578125
05.03.2017 01:00:00.000 GMT+0100,1.06097,1.06215,1.06002,1.06207,8411360351.5625
06.03.2017 01:00:00.000 GMT+0100,1.06207,1.06399,1.05747,1.05789,198254406250
07.03.2017 01:00:00.000 GMT+0100,1.05789,1.06025,1.05581,1.05692,191883281250
08.03.2017 01:00:00.000 GMT+0100,1.05692,1.05741,1.05347,1.05447,203950156250
09.03.2017 01:00:00.000 GMT+0100,1.05447,1.06151,1.05249,1.05794,232016687500
10.03.2017 01:00:00.000 GMT+0100,1.05794,1.06990,1.05780,1.06728,211630187500
12.03.2017 01:00:00.000 GMT+0100,1.06747,1.06925,1.06747,1.06894,7112390136.7188
13.03.2017 01:00:00.000 GMT+0100,1.06894,1.07142,1.06448,1.06507,209422781250
14.03.2017 01:00:00.000 GMT+0100,1.06508,1.06624,1.06003,1.06119,179929812500
15.03.2017 01:00:00.000 GMT+0100,1.06120,1.07399,1.06073,1.07375,213836531250
16.03.2017 01:00:00.000 GMT+0100,1.07376,1.07742,1.07057,1.07718,234024437500
17.03.2017 01:00:00.000 GMT+0100,1.07717,1.07823,1.07274,1.07382,186534625000
19.03.2017 01:00:00.000 GMT+0100,1.07318,1.07451,1.07317,1.07420,5330250000
20.03.2017 01:00:00.000 GMT+0100,1.07421,1.07772,1.07190,1.07368,172443562500
21.03.2017 01:00:00.000 GMT+0100,1.07368,1.08191,1.07353,1.08125,223229906250
22.03.2017 01:00:00.000 GMT+0100,1.08124,1.08245,1.07758,1.07891,220300125000
23.03.2017 01:00:00.000 GMT+0100,1.07891,1.08048,1.07680,1.07830,206665734375
24.03.2017 01:00:00.000 GMT+0100,1.07831,1.08179,1.07602,1.07969,189625203125
26.03.2017 01:00:00.000 GMT+0100,1.08350,1.08492,1.08264,1.08451,14647480468.75
27.03.2017 02:00:00.000 GMT+0200,1.08453,1.09058,1.08377,1.08608,183535500000
28.03.2017 02:00:00.000 GMT+0200,1.08609,1.08725,1.07988,1.08162,170513796875
29.03.2017 02:00:00.000 GMT+0200,1.08162,1.08264,1.07398,1.07583,175207515625
30.03.2017 02:00:00.000 GMT+0200,1.07582,1.07679,1.06718,1.06877,162005546875
31.03.2017 02:00:00.000 GMT+0200,1.06875,1.07018,1.06508,1.06528,184913187500
02.04.2017 02:00:00.000 GMT+0200,1.06594,1.06737,1.06585,1.06692,9205400390.625
03.04.2017 02:00:00.000 GMT+0200,1.06692,1.06809,1.06423,1.06695,171156734375
04.04.2017 02:00:00.000 GMT+0200,1.06695,1.06851,1.06355,1.06779,166734859375
05.04.2017 02:00:00.000 GMT+0200,1.06779,1.06889,1.06349,1.06717,196366437500
06.04.2017 02:00:00.000 GMT+0200,1.06715,1.06840,1.06289,1.06437,175015687500
07.04.2017 02:00:00.000 GMT+0200,1.06437,1.06659,1.05806,1.05889,200702328125
09.04.2017 02:00:00.000 GMT+0200,1.05866,1.05885,1.05734,1.05805,9477490234.375
10.04.2017 02:00:00.000 GMT+0200,1.05806,1.06064,1.05698,1.05971,144021000000
11.04.2017 02:00:00.000 GMT+0200,1.05972,1.06299,1.05785,1.06102,159921312500
12.04.2017 02:00:00.000 GMT+0200,1.06101,1.06751,1.05890,1.06698,182291984375
13.04.2017 02:00:00.000 GMT+0200,1.06698,1.06775,1.06094,1.06148,162037843750
14.04.2017 02:00:00.000 GMT+0200,1.06148,1.06294,1.06060,1.06105,55741179687.5
16.04.2017 02:00:00.000 GMT+0200,1.06129,1.06155,1.06028,1.06097,13667929687.5
17.04.2017 02:00:00.000 GMT+0200,1.06096,1.06703,1.06085,1.06432,103395718750
18.04.2017 02:00:00.000 GMT+0200,1.06432,1.07359,1.06372,1.07274,185533843750
19.04.2017 02:00:00.000 GMT+0200,1.07274,1.07367,1.06998,1.07145,160022125000
20.04.2017 02:00:00.000 GMT+0200,1.07145,1.07775,1.07069,1.07141,160190234375
21.04.2017 02:00:00.000 GMT+0200,1.07140,1.07379,1.06822,1.07237,147990359375
23.04.2017 02:00:00.000 GMT+0200,1.09164,1.09164,1.08648,1.08733,22281240234.375
24.04.2017 02:00:00.000 GMT+0200,1.08733,1.08774,1.08207,1.08649,202360984375
25.04.2017 02:00:00.000 GMT+0200,1.08648,1.09499,1.08512,1.09275,183851906250
26.04.2017 02:00:00.000 GMT+0200,1.09277,1.09507,1.08557,1.09083,197836093750
27.04.2017 02:00:00.000 GMT+0200,1.09083,1.09327,1.08517,1.08650,178829875000
28.04.2017 02:00:00.000 GMT+0200,1.08651,1.09474,1.08571,1.08961,164071468750
30.04.2017 02:00:00.000 GMT+0200,1.09099,1.09110,1.08905,1.09057,7522419921.875
01.05.2017 02:00:00.000 GMT+0200,1.09057,1.09239,1.08840,1.09084,83181492187.5
02.05.2017 02:00:00.000 GMT+0200,1.09086,1.09359,1.08881,1.09346,135614796875
03.05.2017 02:00:00.000 GMT+0200,1.09346,1.09367,1.08813,1.08880,156201843750
04.05.2017 02:00:00.000 GMT+0200,1.08880,1.09870,1.08749,1.09804,181629703125
05.05.2017 02:00:00.000 GMT+0200,1.09806,1.09995,1.09494,1.09950,160752265625
07.05.2017 02:00:00.000 GMT+0200,1.10188,1.10216,1.09633,1.09647,14719450195.3125
08.05.2017 02:00:00.000 GMT+0200,1.09647,1.09968,1.09164,1.09265,179271906250
09.05.2017 02:00:00.000 GMT+0200,1.09265,1.09333,1.08633,1.08861,177103765625
10.05.2017 02:00:00.000 GMT+0200,1.08861,1.08980,1.08532,1.08671,157513875000
11.05.2017 02:00:00.000 GMT+0200,1.08671,1.08929,1.08390,1.08642,140819265625
12.05.2017 02:00:00.000 GMT+0200,1.08642,1.09342,1.08556,1.09310,147972718750
14.05.2017 02:00:00.000 GMT+0200,1.09288,1.09350,1.09226,1.09277,6705229980.4688
15.05.2017 02:00:00.000 GMT+0200,1.09278,1.09893,1.09225,1.09799,140243937500
16.05.2017 02:00:00.000 GMT+0200,1.09798,1.10971,1.09790,1.10933,171232765625
17.05.2017 02:00:00.000 GMT+0200,1.10932,1.11704,1.10816,1.11541,218651140625
18.05.2017 02:00:00.000 GMT+0200,1.11543,1.11719,1.10757,1.11101,254772281250
19.05.2017 02:00:00.000 GMT+0200,1.11100,1.12117,1.10995,1.12065,202951015625
21.05.2017 02:00:00.000 GMT+0200,1.11917,1.12100,1.11916,1.12032,11924589843.75
22.05.2017 02:00:00.000 GMT+0200,1.12032,1.12634,1.11614,1.12373,205206796875
23.05.2017 02:00:00.000 GMT+0200,1.12371,1.12682,1.11750,1.11788,236312203125
24.05.2017 02:00:00.000 GMT+0200,1.11791,1.12332,1.11685,1.12304,230591796875
25.05.2017 02:00:00.000 GMT+0200,1.12306,1.12503,1.11937,1.12100,190652109375
26.05.2017 02:00:00.000 GMT+0200,1.12099,1.12346,1.11605,1.11799,187076531250
28.05.2017 02:00:00.000 GMT+0200,1.11701,1.11849,1.11672,1.11760,7786649902.3438
29.05.2017 02:00:00.000 GMT+0200,1.11758,1.11898,1.11277,1.11290,116821156250
30.05.2017 02:00:00.000 GMT+0200,1.11291,1.12054,1.11094,1.11728,185376265625
31.05.2017 02:00:00.000 GMT+0200,1.11728,1.12521,1.11645,1.12390,189057500000
01.06.2017 02:00:00.000 GMT+0200,1.12389,1.12566,1.12021,1.12128,164043484375
02.06.2017 02:00:00.000 GMT+0200,1.12127,1.12850,1.12049,1.12825,156989453125
04.06.2017 02:00:00.000 GMT+0200,1.12703,1.12837,1.12701,1.12772,6740629882.8125
05.06.2017 02:00:00.000 GMT+0200,1.12775,1.12785,1.12342,1.12573,120698968750
06.06.2017 02:00:00.000 GMT+0200,1.12572,1.12842,1.12404,1.12702,166759734375
07.06.2017 02:00:00.000 GMT+0200,1.12701,1.12823,1.12039,1.12554,189120031250
08.06.2017 02:00:00.000 GMT+0200,1.12554,1.12690,1.11800,1.11883,207401765625
09.06.2017 02:00:00.000 GMT+0200,1.11884,1.12157,1.11663,1.11941,196106078125
11.06.2017 02:00:00.000 GMT+0200,1.12061,1.12096,1.11971,1.12016,7735799804.6875
12.06.2017 02:00:00.000 GMT+0200,1.12015,1.12321,1.11918,1.11973,162194765625
13.06.2017 02:00:00.000 GMT+0200,1.11972,1.12249,1.11852,1.12091,155648234375
14.06.2017 02:00:00.000 GMT+0200,1.12091,1.12958,1.11930,1.12129,226322031250
15.06.2017 02:00:00.000 GMT+0200,1.12130,1.12285,1.11321,1.11486,212904875000
16.06.2017 02:00:00.000 GMT+0200,1.11487,1.12016,1.11384,1.11968,174222125000
18.06.2017 02:00:00.000 GMT+0200,1.12053,1.12079,1.11956,1.12039,9083740234.375
19.06.2017 02:00:00.000 GMT+0200,1.12037,1.12128,1.11409,1.11445,196995125000
20.06.2017 02:00:00.000 GMT+0200,1.11443,1.11648,1.11188,1.11363,218941296875
21.06.2017 02:00:00.000 GMT+0200,1.11365,1.11690,1.11272,1.11667,200566718750
22.06.2017 02:00:00.000 GMT+0200,1.11666,1.11779,1.11392,1.11497,191424375000
23.06.2017 02:00:00.000 GMT+0200,1.11496,1.12089,1.11452,1.11918,162553562500
25.06.2017 02:00:00.000 GMT+0200,1.11963,1.11999,1.11902,1.11997,6135160156.25
26.06.2017 02:00:00.000 GMT+0200,1.11997,1.12198,1.11717,1.11828,188726953125
27.06.2017 02:00:00.000 GMT+0200,1.11827,1.13494,1.11800,1.13369,258372046875
28.06.2017 02:00:00.000 GMT+0200,1.13369,1.13906,1.12917,1.13782,251067312500
29.06.2017 02:00:00.000 GMT+0200,1.13780,1.14455,1.13768,1.14394,245479312500
30.06.2017 02:00:00.000 GMT+0200,1.14393,1.14443,1.13921,1.14251,203137515625
02.07.2017 02:00:00.000 GMT+0200,1.14175,1.14266,1.14163,1.14232,10473129882.8125
03.07.2017 02:00:00.000 GMT+0200,1.14234,1.14248,1.13550,1.13723,173833437500
04.07.2017 02:00:00.000 GMT+0200,1.13723,1.13769,1.13359,1.13595,156219640625
05.07.2017 02:00:00.000 GMT+0200,1.13596,1.13685,1.13123,1.13464,206856906250
06.07.2017 02:00:00.000 GMT+0200,1.13465,1.14254,1.13299,1.14212,203986937500
07.07.2017 02:00:00.000 GMT+0200,1.14212,1.14398,1.13796,1.13996,189153171875
09.07.2017 02:00:00.000 GMT+0200,1.13966,1.14038,1.13924,1.14034,9004769531.25
10.07.2017 02:00:00.000 GMT+0200,1.14032,1.14180,1.13817,1.13963,161246984375
11.07.2017 02:00:00.000 GMT+0200,1.13963,1.14797,1.13828,1.14738,192940156250
12.07.2017 02:00:00.000 GMT+0200,1.14568,1.14588,1.14515,1.14533,3462000000
13.07.2017 02:00:00.000 GMT+0200,1.14186,1.14558,1.13705,1.14045,206374500000
14.07.2017 02:00:00.000 GMT+0200,1.14043,1.14719,1.13914,1.14685,194309734375
16.07.2017 02:00:00.000 GMT+0200,1.14700,1.14750,1.14650,1.14740,17420619140.625
17.07.2017 02:00:00.000 GMT+0200,1.14739,1.14870,1.14348,1.14732,187573656250
18.07.2017 02:00:00.000 GMT+0200,1.14733,1.15831,1.14714,1.15478,253599312500
19.07.2017 02:00:00.000 GMT+0200,1.15477,1.15533,1.15099,1.15287,198068578125
20.07.2017 02:00:00.000 GMT+0200,1.15286,1.16580,1.14792,1.16283,270658875000
21.07.2017 02:00:00.000 GMT+0200,1.16283,1.16828,1.16190,1.16622,224099796875
23.07.2017 02:00:00.000 GMT+0200,1.16635,1.16816,1.16615,1.16814,11264570312.5
24.07.2017 02:00:00.000 GMT+0200,1.16811,1.16842,1.16259,1.16384,204671984375
25.07.2017 02:00:00.000 GMT+0200,1.16384,1.17121,1.16308,1.16444,222419781250
26.07.2017 02:00:00.000 GMT+0200,1.16444,1.17473,1.16125,1.17316,255288265625
27.07.2017 02:00:00.000 GMT+0200,1.17315,1.17767,1.16501,1.16898,267153781250
28.07.2017 02:00:00.000 GMT+0200,1.16898,1.17639,1.16711,1.17478,235715984375
30.07.2017 02:00:00.000 GMT+0200,1.17456,1.17618,1.17443,1.17468,19254289062.5
31.07.2017 02:00:00.000 GMT+0200,1.17469,1.18454,1.17231,1.18208,236964984375
