Local time,Open,High,Low,Close,Volume
12.10.2016 10:00:00.000 GMT+0200,1.10569,1.10570,1.10098,1.10248,262011914062.5
12.10.2016 14:00:00.000 GMT+0200,1.10248,1.10450,1.10044,1.10122,294246085937.5
12.10.2016 18:00:00.000 GMT+0200,1.10127,1.10475,1.10092,1.10144,198581968750
12.10.2016 22:00:00.000 GMT+0200,1.10147,1.10159,1.10051,1.10103,57269220458.9844
13.10.2016 02:00:00.000 GMT+0200,1.10103,1.10376,1.10015,1.10229,155219730468.75
13.10.2016 06:00:00.000 GMT+0200,1.10229,1.10248,1.09999,1.10112,178120572265.625
13.10.2016 10:00:00.000 GMT+0200,1.10113,1.10399,1.09855,1.10382,212575871093.75
13.10.2016 14:00:00.000 GMT+0200,1.10382,1.10468,1.10194,1.10379,259817406250
13.10.2016 18:00:00.000 GMT+0200,1.10380,1.10555,1.10362,1.10495,178033699218.75
13.10.2016 22:00:00.000 GMT+0200,1.10495,1.10581,1.10457,1.10479,47008110473.6328
14.10.2016 02:00:00.000 GMT+0200,1.10480,1.10565,1.10305,1.10310,152754089843.75
14.10.2016 06:00:00.000 GMT+0200,1.10310,1.10322,1.10043,1.10119,173635699218.75
14.10.2016 10:00:00.000 GMT+0200,1.10119,1.10249,1.10036,1.10060,232562578125
14.10.2016 14:00:00.000 GMT+0200,1.10060,1.10275,1.09816,1.09846,294902031250
14.10.2016 18:00:00.000 GMT+0200,1.09846,1.10141,1.09710,1.09716,196240609375
14.10.2016 22:00:00.000 GMT+0200,1.09716,1.09765,1.09705,1.09715,22385759765.625
16.10.2016 22:00:00.000 GMT+0200,1.09690,1.09729,1.09653,1.09656,35131569702.1484
17.10.2016 02:00:00.000 GMT+0200,1.09656,1.09839,1.09638,1.09833,139339242187.5
17.10.2016 06:00:00.000 GMT+0200,1.09834,1.09945,1.09721,1.09760,182917382812.5
17.10.2016 10:00:00.000 GMT+0200,1.09760,1.10034,1.09717,1.09932,249816488281.25
17.10.2016 14:00:00.000 GMT+0200,1.09932,1.10079,1.09893,1.09995,249348781250
17.10.2016 18:00:00.000 GMT+0200,1.09995,1.10068,1.09910,1.10043,157195910156.25
17.10.2016 22:00:00.000 GMT+0200,1.10043,1.10141,1.09959,1.10109,67794189453.125
18.10.2016 02:00:00.000 GMT+0200,1.10107,1.10263,1.10083,1.10205,110117751953.125
18.10.2016 06:00:00.000 GMT+0200,1.10205,1.10241,1.10046,1.10150,150001343750
18.10.2016 10:00:00.000 GMT+0200,1.10151,1.10216,1.09959,1.09968,234235078125
18.10.2016 14:00:00.000 GMT+0200,1.09966,1.10133,1.09700,1.09964,275344445312.5
18.10.2016 18:00:00.000 GMT+0200,1.09964,1.09977,1.09770,1.09807,144762138671.875
18.10.2016 22:00:00.000 GMT+0200,1.09807,1.09807,1.09741,1.09746,47614718994.1406
19.10.2016 02:00:00.000 GMT+0200,1.09746,1.09995,1.09734,1.09903,112855470703.125
19.10.2016 06:00:00.000 GMT+0200,1.09903,1.09921,1.09737,1.09910,164053240234.375
19.10.2016 10:00:00.000 GMT+0200,1.09910,1.10048,1.09726,1.09747,244161328125
19.10.2016 14:00:00.000 GMT+0200,1.09746,1.09808,1.09550,1.09649,236136695312.5
19.10.2016 18:00:00.000 GMT+0200,1.09652,1.09714,1.09604,1.09696,156579746093.75
